Epoch,Error,Optimizer,Architecture
0,31,ADAM,"[35, 30, 20, 10, 5, 2]"
1,25,ADAM,"[35, 30, 20, 10, 5, 2]"
2,26,ADAM,"[35, 30, 20, 10, 5, 2]"
3,25,ADAM,"[35, 30, 20, 10, 5, 2]"
4,24,ADAM,"[35, 30, 20, 10, 5, 2]"
5,22,ADAM,"[35, 30, 20, 10, 5, 2]"
6,22,ADAM,"[35, 30, 20, 10, 5, 2]"
7,27,ADAM,"[35, 30, 20, 10, 5, 2]"
8,23,ADAM,"[35, 30, 20, 10, 5, 2]"
9,22,ADAM,"[35, 30, 20, 10, 5, 2]"
10,23,ADAM,"[35, 30, 20, 10, 5, 2]"
11,21,ADAM,"[35, 30, 20, 10, 5, 2]"
12,20,ADAM,"[35, 30, 20, 10, 5, 2]"
13,24,ADAM,"[35, 30, 20, 10, 5, 2]"
14,21,ADAM,"[35, 30, 20, 10, 5, 2]"
15,25,ADAM,"[35, 30, 20, 10, 5, 2]"
16,25,ADAM,"[35, 30, 20, 10, 5, 2]"
17,23,ADAM,"[35, 30, 20, 10, 5, 2]"
18,22,ADAM,"[35, 30, 20, 10, 5, 2]"
19,24,ADAM,"[35, 30, 20, 10, 5, 2]"
20,22,ADAM,"[35, 30, 20, 10, 5, 2]"
21,21,ADAM,"[35, 30, 20, 10, 5, 2]"
22,22,ADAM,"[35, 30, 20, 10, 5, 2]"
23,28,ADAM,"[35, 30, 20, 10, 5, 2]"
24,22,ADAM,"[35, 30, 20, 10, 5, 2]"
25,20,ADAM,"[35, 30, 20, 10, 5, 2]"
26,24,ADAM,"[35, 30, 20, 10, 5, 2]"
27,24,ADAM,"[35, 30, 20, 10, 5, 2]"
28,23,ADAM,"[35, 30, 20, 10, 5, 2]"
29,23,ADAM,"[35, 30, 20, 10, 5, 2]"
30,21,ADAM,"[35, 30, 20, 10, 5, 2]"
31,22,ADAM,"[35, 30, 20, 10, 5, 2]"
32,22,ADAM,"[35, 30, 20, 10, 5, 2]"
33,18,ADAM,"[35, 30, 20, 10, 5, 2]"
